"list","means","normmean","sds","normsd"
"energetic","39.4785714285714","0.646130465279401","14.2926594114747","0.599702326497456"
"enthusiastic","44.2571428571429","0.724339490296937","13.4829342858987","0.565727260860511"
"content","44.1642857142857","0.722819733458031","13.1108229849327","0.550113930515137"
"irritable","55.9","0.914893617021277","16.6730299603148","0.699579733141554"
"restless","36.8285714285714","0.602758943184475","18.1313920932582","0.760770806042921"
"worried","59.0357142857143","0.966214636427402","14.7961742645665","0.620829187505757"
"guilty","49.8928571428571","0.816577039981295","17.8678991242993","0.749714966681528"
"afraid","24.1071428571429","0.394552256254384","15.9503259607077","0.66925596641236"
"anhedonia","39.4928571428571","0.646364274023848","17.2098752095315","0.722105096382624"
"angry","33.9142857142857","0.555061959317278","13.8696323283991","0.581952632854847"
"hopeless","42.2","0.690671031096563","15.0003357276578","0.629395550200908"
"down","42.6714285714286","0.698386719663315","18.8597408593711","0.791331420199079"
"positive","44.8642857142857","0.734276361935936","12.1283369445313","0.508890030384486"
"fatigue","54.2642857142857","0.88812251578209","18.2609426006978","0.766206585240746"
"tension","30.3714285714286","0.497077390694412","19.1560584015624","0.803764538089755"
"concentrate","51.1428571428571","0.837035305120412","23.8329230686006","1"
"accepted","54.4714285714286","0.891512742576572","12.0558907402823","0.505850277180883"
"threatened","20.9","0.342062193126023","13.5881349004174","0.570141348642188"
"ruminate","61.1","1","16.0835498426053","0.674845875863001"
"avoid_act","49.9785714285714","0.817979892447978","22.1886833094992","0.931009731606628"
"reassure","57.4928571428571","0.940963292027122","14.8394265962693","0.622644001894167"
"procrast","53.8","0.880523731587561","22.9529390290643","0.963076957156982"
"avoid_people","28.0857142857143","0.459667991582885","16.9040822255751","0.709274400664931"
