"list","means","normmean","sds","normsd"
"energetic","29.327731092437","0.665522501906941","15.6628185677546","0.572108043060498"
"enthusiastic","28.7142857142857","0.651601830663616","15.5400755059696","0.56762466782549"
"content","40.7310924369748","0.924294431731503","12.0294113294068","0.439392370221609"
"irritable","17.0840336134454","0.38768115942029","15.7875620599088","0.576664487028239"
"restless","12.8655462184874","0.291952707856598","12.6255890077389","0.461168658020097"
"worried","44.0672268907563","1","27.3773787272176","1"
"guilty","21.781512605042","0.494279176201373","18.6079806388374","0.67968452437479"
"afraid","14.7983193277311","0.335812356979405","14.6493360941327","0.535089068975362"
"anhedonia","19.4621848739496","0.441647597254005","16.8275348990603","0.614651061620115"
"angry","15.3193277310924","0.347635392829901","17.867180770809","0.652625693235053"
"hopeless","16.4621848739496","0.373569794050343","15.4945533984165","0.565961904271439"
"down","30.7226890756303","0.697177726926011","21.4562717984102","0.783722649717342"
"positive","43.7310924369748","0.992372234935164","15.4331238964523","0.563718099173214"
"fatigue","24.3529411764706","0.552631578947368","21.1738518930316","0.773406837228769"
"tension","13.0252100840336","0.295575896262395","15.2740292403528","0.557906927194892"
"concentrate","42.781512605042","0.970823798627002","23.9038184538723","0.873122978355411"
"accepted","41.1008403361345","0.932684973302822","18.0349918627994","0.658755246164953"
"threatened","12.6806722689076","0.287757437070938","11.2377487137947","0.410475700605424"
"ruminate","15.2689075630252","0.346491228070175","14.8247945531205","0.541497953505029"
"avoid_act","17.7058823529412","0.401792524790236","17.9407466074715","0.655312796240621"
"reassure","15.1680672268908","0.344202898550725","13.4720799343737","0.492088014291164"
"procrast","15.4621848739496","0.350877192982456","16.7467628624851","0.611700741307133"
"avoid_people","19.563025210084","0.443935926773455","20.5284584012017","0.749832867702305"
